_id,No,Date,Crossroads,Road,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,Total_Vol,Lat.,Lon.,Temperature,Rainfall,Holiday
1,1,2023-12-01,สะพานขาว,กรุงเกษม,1592,355.0,39,3,26,133,8761,2765.0,178,3,164,885,2173.0,628,47,0,18,128,17898.0,13.756629,100.51609,28.830180719923412,19.314536900061285,0
2,2,2023-12-01,สะพานขาว,หลานหลวง,3989,894.0,178,3,24,208,13867,4051.0,803,7,172,627,2510.0,671,194,0,29,141,28368.0,13.756629,100.51609,30.860379372457498,1.603680584879591,0
3,3,2023-12-04,ศรีบูรพา - อาคารสงเคราะห์,ศรีบูรพา,1839,700.0,73,0,32,8,5826,2764.0,255,1,139,27,1916.0,741,67,0,15,7,14410.0,13.78043143,100.650487,31.514592928743696,39.06446537986208,0
4,4,2023-12-04,ศรีบูรพา - อาคารสงเคราะห์,อาคารสงเคราะห์,216,97.0,1,0,4,2,1044,358.0,1,0,7,8,291.0,39,0,0,1,1,2070.0,13.78043143,100.650487,31.610759960234642,31.731002882812927,0
5,5,2023-12-06,เลียบคลองภาษีเจริญฝั่งเหนือ - เพชรเกษม 81,เพชรเกษม 81,1866,833.0,35,2,69,25,6537,4140.0,170,6,453,97,1951.0,1018,61,2,56,24,17345.0,13.68112101,100.3445238,25.74167485445326,42.632544893646575,0
6,6,2023-12-06,เลียบคลองภาษีเจริญฝั่งเหนือ - เพชรเกษม 81,เลียบคลองภาษีเจริญฝั่งเหนือ,1390,602.0,9,0,61,10,3415,2254.0,29,0,379,36,1248.0,528,6,0,32,3,10002.0,13.68112101,100.3445238,31.77528918868675,42.20387513727557,0
7,7,2023-12-06,หน้าบริษัทกราเวีย อาร์ต เซ็นเตอร์,เลียบคลองภาษีเจริญฝั่งเหนือ,1363,534.0,7,1,58,1,3557,2425.0,17,0,442,5,869.0,527,3,0,43,0,9852.0,13.69106,100.373989,29.328916927438712,16.355041630398027,0
8,8,2023-12-07,เกษมราษฎร์,เกษมราษฎร์,1006,298.0,4,0,10,14,3339,1145.0,19,1,59,32,1146.0,255,5,0,7,15,7355.0,13.718968,100.567186,32.31174676185011,39.07156915015915,0
9,9,2023-12-07,เกษมราษฎร์,พระรามที่ 4,5360,1180.0,93,0,84,73,15082,4723.0,381,6,417,204,4671.0,1208,78,0,38,46,33644.0,13.718968,100.567186,27.4527259158026,25.612552035550618,0
10,10,2023-12-08,บางเขน(2),กำแพงเพชร 6,1868,487.0,7,2,21,3,7329,2331.0,23,3,162,30,2014.0,482,13,2,30,2,14809.0,13.84791227,100.5608429,34.213597926738345,8.081432667518962,0
11,11,2023-12-08,บางเขน(2),งามวงศ์วาน,3684,988.0,83,2,22,5,12992,4595.0,289,7,539,19,2905.0,904,69,0,38,5,27146.0,13.84791227,100.5608429,32.32743021590609,12.351534174686513,0
12,12,2023-12-12,อ่อนนุช 46,อ่อนนุช 46,492,143.0,0,0,12,0,1826,847.0,0,0,44,10,571.0,234,0,0,5,5,4189.0,13.71067185,100.6343334,31.679685246637213,41.165770910576875,0
13,13,2023-12-12,อ่อนนุช 46,อ่อนนุช,2939,1312.0,14,0,71,3,10765,5835.0,74,0,524,25,2642.0,1063,19,0,45,7,25338.0,13.71067185,100.6343334,28.259950098640065,31.29854225893242,0
14,14,2023-12-13,สุขาภิบาล 5 - จตุโชติ,สุขาภิบาล 5,3787,1171.0,1,2,96,1,12030,5402.0,27,7,594,15,3473.0,1550,6,1,129,4,28296.0,13.89819333,100.6618999,26.350004561633163,48.51474991778111,0
15,15,2023-12-13,สุขาภิบาล 5 - จตุโชติ,จตุโชติ,1061,369.0,1,0,15,0,3929,2149.0,2,0,227,0,965.0,549,1,0,45,1,9314.0,13.89819333,100.6618999,26.314050136919562,47.30330895004693,0
16,16,2023-12-13,สุขาภิบาล 5 - เพิ่มสิน,สุขาภิบาล 5,3231,912.0,4,3,74,4,11212,4769.0,30,8,602,17,3234.0,1320,6,2,121,4,25553.0,13.90132959,100.6652624,27.02077759124574,47.799174492670645,0
17,17,2023-12-13,สุขาภิบาล 5 - เพิ่มสิน,เพิ่มสิน,913,317.0,4,2,5,1,2581,1169.0,19,9,44,6,844.0,274,7,2,7,1,6205.0,13.90132959,100.6652624,33.716072078788294,44.02187849709517,0
18,18,2023-12-14,ปากซอยคุ้มเกล้า 3,คุ้มเกล้า,2099,1078.0,6,0,119,0,5130,3390.0,3,0,609,0,1156.0,716,1,0,136,0,14443.0,13.80039776,100.7844725,28.951063170966474,20.28969760666429,0
19,19,2023-12-14,นิคมอุตสาหกรรมลาดกระบัง,ฉลองกรุง,4840,2450.0,81,6,785,3,12220,10432.0,200,14,4205,9,3794.0,2566,71,1,586,1,42264.0,13.75577507,100.7979285,34.846755707946215,28.533039358907963,0
20,20,2023-12-14,นิคมอุตสาหกรรมลาดกระบัง,ฉลองกรุง 31,550,703.0,30,0,261,0,2111,2070.0,59,0,1800,2,665.0,754,150,0,185,0,9340.0,13.75577507,100.7979285,26.900280136315132,29.109980607933355,0
21,21,2023-12-14,นิคมอุตสาหกรรมลาดกระบัง,ส่วนบุคคล,13,11.0,0,0,1,0,64,54.0,0,0,3,0,15.0,16,0,0,1,0,178.0,13.75577507,100.7979285,33.64095826651651,22.487943925900776,0
22,22,2023-12-15,ปากซอยประชาอุทิศ 54,ประชาอุทิศ,1669,614.0,26,0,6,205,8094,2836.0,128,0,40,635,2186.0,711,31,0,9,142,17332.0,13.64368321,100.499045,28.181653505532637,35.77582722665837,0
23,23,2023-12-15,นาหลวง,หมู่บ้านสินทวี,70,13.0,0,0,0,0,120,71.0,0,0,0,0,20.0,22,0,0,0,0,316.0,13.6472263,100.4957044,29.52941310240647,13.19898746592213,0
24,24,2023-12-15,นาหลวง,ประชาอุทิศ (SB),1246,604.0,25,0,29,73,5227,2117.0,150,0,140,206,1602.0,637,39,0,19,53,12167.0,13.6472263,100.4957044,34.88765135708242,17.609551874563156,0
25,25,2023-12-15,นาหลวง,พุทธบูชา,855,274.0,5,0,6,47,3303,1452.0,42,0,110,215,941.0,508,15,0,15,95,7883.0,13.6472263,100.4957044,32.435120706417955,10.687771026160908,0
26,26,2023-12-15,นาหลวง,ประชาอุทิศ (WB),904,301.0,15,0,10,112,3923,1549.0,50,0,114,337,929.0,297,12,0,7,92,8652.0,13.6472263,100.4957044,26.08331395395909,32.579642858464126,0
27,27,2023-12-18,สายไหม 39,สายไหม 39,518,110.0,0,0,2,0,1162,501.0,0,0,5,1,297.0,161,0,0,1,0,2758.0,13.92132871,100.6568749,34.566262357993054,18.47534438757168,0
28,28,2023-12-18,สายไหม 39,สายไหม,3259,1018.0,14,3,38,1,10621,3955.0,42,21,348,19,2966.0,1168,9,9,30,5,23526.0,13.92132871,100.6568749,34.57880981928671,7.722785361310386,0
